Tarih,Urunbasi_ortalama_maliyet
15.10.2020,600.0
16.10.2020,600.0
17.10.2020,650.0
18.10.2020,650.0
19.10.2020,650.0
20.10.2020,662.0
21.10.2020,666.0
22.10.2020,658.0
23.10.2020,662.0
24.10.2020,662.0
25.10.2020,642.0
26.10.2020,614.0
27.10.2020,666.0
28.10.2020,666.0
29.10.2020,666.0
30.10.2020,666.0
31.10.2020,666.0
1.11.2020,666.0
2.11.2020,666.0
3.11.2020,700.0
4.11.2020,700.0
5.11.2020,690.0
6.11.2020,690.0
7.11.2020,690.0
8.11.2020,690.0
9.11.2020,690.0
10.11.2020,690.0
11.11.2020,690.0
12.11.2020,690.0
13.11.2020,690.0
14.11.2020,690.0
15.11.2020,690.0
16.11.2020,720.0
17.11.2020,720.0
18.11.2020,720.0
19.11.2020,720.0
20.11.2020,720.0
21.11.2020,720.0
22.11.2020,714.0
23.11.2020,708.0
24.11.2020,690.0
25.11.2020,702.0
26.11.2020,710.0
27.11.2020,700.0
28.11.2020,700.0
29.11.2020,720.0
30.11.2020,720.0
1.12.2020,720.0
2.12.2020,720.0
3.12.2020,720.0
4.12.2020,720.0
5.12.2020,720.0
6.12.2020,720.0
7.12.2020,720.0
8.12.2020,720.0
9.12.2020,720.0
10.12.2020,755.0
11.12.2020,755.0
12.12.2020,755.0
13.12.2020,755.0
14.12.2020,755.0
15.12.2020,755.0
16.12.2020,755.0
17.12.2020,755.0
18.12.2020,755.0
19.12.2020,755.0
20.12.2020,762.0
21.12.2020,769.0
22.12.2020,776.0
23.12.2020,783.0
24.12.2020,790.0
25.12.2020,790.0
26.12.2020,792.0
27.12.2020,794.0
28.12.2020,796.0
29.12.2020,796.0
30.12.2020,796.0
